"I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15"
2,"3 hundreds",99,7,"151mL",99,"Bir and Teg",99,99,99,99,99,"football","B",99
2,"3 hundreds",1720,8,"151mL",1100,"Huf and Mif",99,99,5,2010,5,"football","B",15
4,"3 hundreds",1720,8,"160mL",1100,"Bir and Mif",3,99,5,99,5,"football","C",99
4,"3 hundreds",99,8,"160mL",1100,"Bir and Mif",3,15,5,2022,5,"football","C",35
4,"3 hundreds",1720,8,"151mL",99,"Bir and Mif",99,99,99,99,5,"football","C",15
4,"3 hundreds",99,8,"160mL",1100,"Bir and Mif",6,99,4,99,5,"football","C",99
4,"3 hundreds",1720,8,"151mL",99,"Bir and Teg",99,99,4,99,5,"football","C",99
99,"3 hundreds",1720,8,"151mL",99,"Bir and Mif",4,15,4,99,5,"football","C",14
99,"3 hundreds",99,8,"160mL",99,"Bir and Teg",5,99,5,99,5,"football","C",99
8,"3 hundreds",99,8,"151mL",99,"Huf and Mif",3,99,5,2022,5,"football","C",15
4,"3 hundreds",99,8,"151mL",99,"Bir and Mif",99,99,99,99,5,"football","C",15
4,"3 hundreds",1720,8,"160mL",1100,"Bir and Mif",3,15,5,2022,5,"football","C",30
4,"3 hundreds",99,8,"151mL",1100,"Bir and Mif",6,99,5,2010,5,"football","C",99
2,"3 hundreds",1720,8,"160mL",1100,"Teg and Huf",99,99,5,2010,5,"football","C",15
4,"3 hundreds",99,7,"151mL",1100,"Bir and Teg",99,99,5,99,5,"football","C",15
4,"3 hundreds",1720,8,"160mL",1100,"Bir and Mif",3,15,5,2022,5,"football","C",35
4,"3 hundreds",1720,7,"150mL",99,"Bir and Mif",99,99,99,99,99,"football","C",30
2,"3 hundreds",99,7,"151mL",99,"Bir and Teg",99,99,99,99,99,"football","B",99
4,"3 hundreds",1720,8,"160mL",1100,"Bir and Mif",3,15,5,2022,5,"football","B",35
4,"3 hundreds",99,8,"151mL",1100,"Bir and Teg",6,20,4,99,5,"cricket","C",99
99,"3 hundreds",99,8,"160mL",99,"Bir and Teg",5,99,5,99,5,"football","C",99
2,"3 hundreds",99,8,"151mL",1100,"Bir and Teg",5,20,99,99,5,"football","B",15
4,"3 hundreds",1720,8,"160mL",1100,"Bir and Mif",3,99,5,99,5,"football","C",15
